aim,contrast,n,metric,features,features_ci_low,features_ci_high,covariate_only,covariate_only_ci_low,covariate_only_ci_high,features_residualized,features_residualized_ci_low,features_residualized_ci_high,permutation_p,fdr_q,note
Aim 1,coding-disrupting vs not,700,AUROC,0.58649,0.5242132464191109,0.6536395188985006,0.80213,0.7699660368263656,0.8369969455880872,0.4177099999999999,0.36869309478566986,0.46643124330223223,0.004995004995004995,,Evo2-SAE ref-alt delta; covariates include SV length/type and local composition.
Aim 1,"coding/splice vs intergenic, raw",300,AUROC,0.61015,0.5483497710043471,0.6745478793646745,0.9904499999999999,0.9816122816482962,0.9969886180112437,0.26265,0.22091123968878532,0.29994378028679675,0.01098901098901099,,Evo2-SAE ref-alt delta; covariates include SV length/type and local composition.
Aim 1,"coding/splice vs intergenic, length-matched",166,AUROC,0.5469589200174191,0.48039662756598245,0.6357127221016643,0.9914356220060967,0.9773459585501557,0.9990939153439153,0.04935404267673103,0.021423902894491125,0.08542678336156596,0.2957042957042957,,Evo2-SAE ref-alt delta; covariates include SV length/type and local composition.
Aim 2,selective sweeps vs controls,600,AUROC,0.6243333333333334,0.5798067581947712,0.6805246992110454,0.6099222222222223,0.5774746568627451,0.6527182300275483,0.6150333333333333,0.5736361574933004,0.666790547337278,0.000999000999000999,,Region features reduced by SVD-128 in aim driver; covariates include GC/repeat/mappability/gene density.
Aim 2,introgression vs controls,600,AUROC,0.5370777777777778,0.489381955922865,0.5917747933884296,0.6048222222222223,0.5772141043397968,0.6434105029585798,0.4942444444444445,0.44611694444444455,0.5437079594356692,0.11888111888111888,,Region features reduced by SVD-128 in aim driver; covariates include GC/repeat/mappability/gene density.
Aim 3,C17orf97|ENSG00000187624,255,Spearman,0.6596437602691211,0.5883062811776417,0.720644771156927,0.05118664819092494,-0.0856388768661708,0.17370502681777658,0.41055065071452457,0.27952929990116243,0.523617280548381,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,C17orf97|ENSG00000187624,255,R2,0.33502913292852654,0.1963002480484018,0.4551223577403686,0.027481841189491485,-0.03064271871608284,0.08107509186657268,-1.9923841527822819,-3.8071788832844113,-0.7681135472493301,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,ERAP2|ENSG00000164308,255,Spearman,0.4846716231898555,0.37448070930890437,0.58898008628635,-0.141103789066899,-0.26017402094821246,-0.013042140274994715,0.4897457010711377,0.37085794119861215,0.5900939502708739,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,ERAP2|ENSG00000164308,255,R2,-0.028472257596771078,-0.26260957461729606,0.175941093397911,-0.0263414584756696,-0.0546745976389921,-0.009104743734255596,-0.1301456001862804,-0.45714537016807133,0.11210472775042866,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,GSTM1|ENSG00000134184,255,Spearman,0.12655877664848647,0.015543353211100197,0.24622355909875537,-0.10034800042083811,-0.213653109324802,0.03303745101996291,0.20779966781142326,0.08255604618522713,0.3250493185766774,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,GSTM1|ENSG00000134184,255,R2,0.09625722182369811,0.019657856918367436,0.17875232026998228,-0.03436165824639259,-0.07016019823658749,-0.00632751693987421,0.10439063876944088,0.023234331869297634,0.18799325442052203,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,PEX6|ENSG00000124587,255,Spearman,0.6318446326537456,0.5268257284293071,0.7157397790715027,-0.13508789911334457,-0.25104589259085985,-0.009505627487111121,0.631288902938316,0.5246474095825644,0.7124219290958876,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,PEX6|ENSG00000124587,255,R2,0.3116692049775347,0.11164209448688507,0.4591904992677151,-0.0089173713319608,-0.027254529053268063,-0.003142409150635467,0.29254993519631,0.09173094089420476,0.44373109019685775,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,POMZP3|ENSG00000146707,255,Spearman,0.6304483765392978,0.5414296702544384,0.7057082963496117,-0.04827565108800395,-0.17090878056411793,0.07537695859922132,0.6183003863986786,0.5346655802966116,0.693315600161176,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,POMZP3|ENSG00000146707,255,R2,0.2762435341804821,0.10015254851425195,0.423173546162969,-0.006763981642898598,-0.03563039396095136,0.00719631379067504,0.11807103679942033,-0.1671811640469229,0.3450746719164242,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,RPS26|ENSG00000197728,255,Spearman,0.7502848768389299,0.676717329299717,0.8038962799432011,0.04864588221382474,-0.0717728485415194,0.16432685878337705,0.5618971300718216,0.4446996655898146,0.6597944961810673,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,RPS26|ENSG00000197728,255,R2,0.6074398635117255,0.5035922762343096,0.6849893566572105,0.03361056788073069,-0.013583393841379753,0.08274387617040344,-1.9768661091822777,-3.5278541594673545,-0.6674684806510565,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,SLFN5|ENSG00000166750,255,Spearman,0.6739990997354948,0.5857828811859774,0.7508856592624411,-0.06319684347706205,-0.1811875208742132,0.07247463712032387,0.6223937353490849,0.5282578705559843,0.7023289195129047,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,SLFN5|ENSG00000166750,255,R2,0.4650603329563313,0.29389086169601153,0.5843372473091075,-0.024711081136464808,-0.06816205374780229,-0.0011995030199782426,0.0018632249088657016,-0.4025735778313432,0.31432200752686396,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,ZNF266|ENSG00000174652,255,Spearman,0.7153724610080211,0.6335193516135458,0.7786267623006959,-0.006784887805802764,-0.12654953007232253,0.10445634641148986,0.6352071467409618,0.525136549785281,0.7215615920185839,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
Aim 3,ZNF266|ENSG00000174652,255,R2,0.4693126302464883,0.3329598583265079,0.5731826952736863,-0.01271216288561794,-0.04987166545606701,0.01190612200136841,-0.07235192981450234,-0.592431151887498,0.2921482005016861,0.001996007984031936,0.001996007984031936,Per-gene expression regression; covariate-only is ancestry dummy.
