aim,rank,feature,active_fraction,mean_abs
Aim1,1,29844,1.0,0.02387574315071106
Aim1,2,15809,1.0,0.011607028543949127
Aim1,3,32710,1.0,0.010278078727424145
Aim1,4,100,1.0,0.010188370011746883
Aim1,5,11198,1.0,0.007177382241934538
Aim1,6,24144,1.0,0.007059088442474604
Aim1,7,26395,1.0,0.007021596189588308
Aim1,8,17323,1.0,0.006865558680146933
Aim1,9,32713,1.0,0.006739347241818905
Aim1,10,6483,1.0,0.006564713083207607
Aim2,1,29844,1.0,3.7376480102539062
Aim2,2,17323,1.0,0.4464614987373352
Aim2,3,26395,1.0,0.4219227135181427
Aim2,4,13657,1.0,0.3276923894882202
Aim2,5,5814,1.0,0.31723034381866455
Aim2,6,32710,1.0,0.30822449922561646
Aim2,7,15809,1.0,0.2777481973171234
Aim2,8,24144,1.0,0.2771631181240082
Aim2,9,100,1.0,0.2640681564807892
Aim2,10,8044,1.0,0.25200679898262024
Aim3,1,29844,1.0,3.7353081703186035
Aim3,2,17323,1.0,0.3802372217178345
Aim3,3,26395,1.0,0.3640633821487427
Aim3,4,5814,1.0,0.3308122158050537
Aim3,5,13657,1.0,0.3282431960105896
Aim3,6,15809,1.0,0.2860528528690338
Aim3,7,100,1.0,0.2792736887931824
Aim3,8,8044,1.0,0.23904690146446228
Aim3,9,32710,1.0,0.2352760136127472
Aim3,10,24144,1.0,0.2212589681148529
